Image ID,Image file,Question ID,Question,Answer,Plausible answers,Question Type,Answer Type
62549,../data/validation/images/COCO_val2014_000000062549.jpg,62549016,Is the bird a carnivore?,yes,"{'no', 'yes'}",is the,yes/no
46870,../data/validation/images/COCO_val2014_000000046870.jpg,46870003,What kind of bike is it?,honda,"{'honda', 'motorcycle', 'honda motorcycle'}",what kind of,other
29080,../data/validation/images/COCO_val2014_000000029080.jpg,29080002,Is the man smiling?,yes,"{'no', 'yes'}",is the man,yes/no
306536,../data/validation/images/COCO_val2014_000000306536.jpg,306536003,How many clocks?,1,"{'1', '2'}",how many,number
320370,../data/validation/images/COCO_val2014_000000320370.jpg,320370001,Is this an urban street?,no,"{'no', 'yes'}",is this an,yes/no
186413,../data/validation/images/COCO_val2014_000000186413.jpg,186413002,How many cows in pic?,4,"{'2', '4'}",how many,number
189376,../data/validation/images/COCO_val2014_000000189376.jpg,189376001,What is the woman holding?,hands,"{'mug', 'her hands', 'hands', 'nothing', 'phone', 'cup'}",what is the woman,other
235242,../data/validation/images/COCO_val2014_000000235242.jpg,235242000,Is this a steam engine?,no,"{'no', 'yes'}",is this a,yes/no
385896,../data/validation/images/COCO_val2014_000000385896.jpg,385896000,"Is the skateboarder ""railing""?",yes,"{'no', 'maybe', 'yes'}",is the,yes/no
526536,../data/validation/images/COCO_val2014_000000526536.jpg,526536003,What utensil is closest to the pizza?,fork,{'fork'},what,other
391446,../data/validation/images/COCO_val2014_000000391446.jpg,391446003,What design is on the first sail?,skull and crossbones,"{'skull and bones', 'skull', 'skull and crossbones', 'logo', 'swords', 'symbol', 'pirate logo'}",what,other
17182,../data/validation/images/COCO_val2014_000000017182.jpg,17182002,How many books are on the desk?,6,"{'5', '6'}",how many,number
88455,../data/validation/images/COCO_val2014_000000088455.jpg,88455008,What are the people riding?,skateboard,"{'skateboard', 'skateboards'}",what are the,other
503292,../data/validation/images/COCO_val2014_000000503292.jpg,503292001,Is there a portrait of someone here?,no,{'no'},is there a,yes/no
125458,../data/validation/images/COCO_val2014_000000125458.jpg,125458000,Would a vegetarian eat this meal?,no,{'no'},none of the above,yes/no
427377,../data/validation/images/COCO_val2014_000000427377.jpg,427377000,Are there a lot of bottles in the rack?,yes,{'yes'},are there,yes/no
326550,../data/validation/images/COCO_val2014_000000326550.jpg,326550003,What is the boy standing on?,rocks,"{'rock', 'rocks', ""ski's"", 'stone'}",what is the,other
257767,../data/validation/images/COCO_val2014_000000257767.jpg,257767010,Is there liquor?,no,{'no'},is there,yes/no
104685,../data/validation/images/COCO_val2014_000000104685.jpg,104685002,What country is the flag from?,usa,"{'united states', 'usa', 'us'}",what,other
65057,../data/validation/images/COCO_val2014_000000065057.jpg,65057002,What is the pattern of the red and white shirt?,solid,"{'cotton', 'none', 'no shirt', 'solid'}",what is the,other
239194,../data/validation/images/COCO_val2014_000000239194.jpg,239194001,What predators would attack this animal?,lion,"{'tiger', 'lion', 'lions', 'lions and tigers'}",what,other
136355,../data/validation/images/COCO_val2014_000000136355.jpg,136355002,Are these tulips grown in the home garden or bought from the store?,store,"{'grown in home', 'store', 'brought from store', 'bought from store', 'bought', 'home garden'}",are these,other
499210,../data/validation/images/COCO_val2014_000000499210.jpg,499210001,Is he wearing formal clothes?,no,"{'no', 'yes'}",is he,yes/no
302038,../data/validation/images/COCO_val2014_000000302038.jpg,302038005,What variety of wood was used for the house's framework?,oak,"{'maple', '2 by 4s', 'black wood', 'oak', 'cedar', 'pine', 'wood'}",what,other
348887,../data/validation/images/COCO_val2014_000000348887.jpg,348887000,What is the kid holding?,surfboard,"{'bodyboard', 'surfboard'}",what is the,other
95319,../data/validation/images/COCO_val2014_000000095319.jpg,95319001,What color is the box in the background?,white,"{'orange and green', 'white', 'orange'}",what color is the,other
195894,../data/validation/images/COCO_val2014_000000195894.jpg,195894004,What room is this?,hotel room,"{'hotel room', 'bedroom', 'hotel'}",what room is,other
526806,../data/validation/images/COCO_val2014_000000526806.jpg,526806003,Is this a high speed train?,no,"{'no', 'yes'}",is this a,yes/no
412419,../data/validation/images/COCO_val2014_000000412419.jpg,412419009,Did the hitter swing at the ball?,yes,{'yes'},none of the above,yes/no
168248,../data/validation/images/COCO_val2014_000000168248.jpg,168248002,Are there trees in the background?,yes,{'yes'},are there,yes/no
193673,../data/validation/images/COCO_val2014_000000193673.jpg,193673003,How many of the bananas have stickers?,0,"{'banana', 'bananas', '0'}",how many,number
124654,../data/validation/images/COCO_val2014_000000124654.jpg,124654000,Where is the tissue dispenser?,not visible,"{'rack', 'not visible', 'counter', 'top shelf', 'shelf', 'on top shelf', 'sink cabinet', 'on cabinet', 'beside toilet', 'on sink'}",where is the,other
133476,../data/validation/images/COCO_val2014_000000133476.jpg,133476007,Are beans on the plate?,no,{'no'},are,yes/no
380487,../data/validation/images/COCO_val2014_000000380487.jpg,380487000,Is there a mirror in the room?,yes,"{'no', 'yes'}",is there a,yes/no
437738,../data/validation/images/COCO_val2014_000000437738.jpg,437738006,What does the sign say?,stop,"{'donuts, stop, all way', 'stop all way', 'donuts', 'stop'}",what does the,other
76351,../data/validation/images/COCO_val2014_000000076351.jpg,76351010,What is the animal leaning on?,tree,"{'elephant', 'tree'}",what is the,other
67207,../data/validation/images/COCO_val2014_000000067207.jpg,67207025,Is there anything hanging from the ceiling?,no,{'no'},is there,yes/no
489798,../data/validation/images/COCO_val2014_000000489798.jpg,489798000,What beverage are the men drinking?,coke,"{'sodas', 'soda', 'beer', 'coke', 'soft drinks'}",what,other
78266,../data/validation/images/COCO_val2014_000000078266.jpg,78266001,Where is the fire extinguisher?,against white wall,"{'ceiling', 'missing', 'against white wall', 'near pole', 'wall', 'middle pole', 'na', 'right', 'on wall', ""there isn't one""}",where is the,other
370123,../data/validation/images/COCO_val2014_000000370123.jpg,370123002,Does the clock tower look distorted?,yes,"{'no', 'yes'}",does the,yes/no
325152,../data/validation/images/COCO_val2014_000000325152.jpg,325152001,How many benches do you see?,2,"{'2', '40', '4', 'fredrik'}",how many,number
499810,../data/validation/images/COCO_val2014_000000499810.jpg,499810002,What is the luggage on top of?,conveyor belt,"{'conveyor belt', 'carousel', 'luggage belt', 'conveyor', 'baggage conveyor'}",what is the,other
452767,../data/validation/images/COCO_val2014_000000452767.jpg,452767001,What kind of sports team is this?,tennis,{'tennis'},what kind of,other
211604,../data/validation/images/COCO_val2014_000000211604.jpg,211604001,Is the player tired?,yes,"{'maybe', 'yes'}",is the,yes/no
85162,../data/validation/images/COCO_val2014_000000085162.jpg,85162000,Does the building look new or old?,old,"{'old', 'new'}",does the,other
163879,../data/validation/images/COCO_val2014_000000163879.jpg,163879002,What brand of suitcase is that?,bass,"{'basa', 'pixxx', 'base', 'pisa', '?', 'bass'}",what brand,other
26204,../data/validation/images/COCO_val2014_000000026204.jpg,26204004,What does the red sign say?,inlander,"{'inlander', 'uplander', 'stop', 'insider', 'highlander'}",what does the,other
299720,../data/validation/images/COCO_val2014_000000299720.jpg,299720000,Is this giraffe hiding?,yes,"{'no', 'yes'}",is this,yes/no
32364,../data/validation/images/COCO_val2014_000000032364.jpg,32364014,Is she flying a kite?,yes,"{'no', 'yes'}",is,yes/no
46869,../data/validation/images/COCO_val2014_000000046869.jpg,46869004,What room is this?,bathroom,{'bathroom'},what room is,other
3690,../data/validation/images/COCO_val2014_000000003690.jpg,3690001,How many eggs are on the pizza?,0,"{'1', 'who puts egg on pizza?!', '0'}",how many,number
254625,../data/validation/images/COCO_val2014_000000254625.jpg,254625001,What sport is being played?,baseball,{'baseball'},what sport is,other
16593,../data/validation/images/COCO_val2014_000000016593.jpg,16593023,Is the man holding a flip phone?,no,{'no'},is the man,yes/no
50159,../data/validation/images/COCO_val2014_000000050159.jpg,50159001,Are there any weapons in the picture?,no,{'no'},are there any,yes/no
409291,../data/validation/images/COCO_val2014_000000409291.jpg,409291002,What sport is being played?,baseball,"{'frisbee', 'softball', 't-ball', 'baseball'}",what sport is,other
546965,../data/validation/images/COCO_val2014_000000546965.jpg,546965005,Is it sunny?,no,"{'no', 'yes'}",is it,yes/no
190395,../data/validation/images/COCO_val2014_000000190395.jpg,190395002,Do you see a handle?,no,{'no'},do you,yes/no
22158,../data/validation/images/COCO_val2014_000000022158.jpg,22158014,What room of the house is this?,kitchen,{'kitchen'},what,other
56739,../data/validation/images/COCO_val2014_000000056739.jpg,56739004,Who is on the phone?,man,"{'construction workers', 'workers', 'man with blue pants', 'man in front', 'construction worker', 'construction worker on right', 'man', 'man in orange on right', 'his boss'}",who is,other
226020,../data/validation/images/COCO_val2014_000000226020.jpg,226020001,Is he about to fall off of his skateboard?,yes,"{'no', 'yes'}",is he,yes/no
473774,../data/validation/images/COCO_val2014_000000473774.jpg,473774002,Are the fries something that someone on a diet would eat?,no,"{'no', 'yes'}",are the,yes/no
34662,../data/validation/images/COCO_val2014_000000034662.jpg,34662000,What are the sheep waiting on?,food,"{'dinner', 'ride', 'nothing', 'shepherd', 'food', 'grass'}",what are the,other
254750,../data/validation/images/COCO_val2014_000000254750.jpg,254750000,Is there any toilet paper?,no,"{'no', 'yes'}",is there,yes/no
531532,../data/validation/images/COCO_val2014_000000531532.jpg,531532001,How many people are shown?,2,{'2'},how many people are,number
461751,../data/validation/images/COCO_val2014_000000461751.jpg,461751001,Are there any tattoos on his right arm?,yes,{'yes'},are there any,yes/no
145101,../data/validation/images/COCO_val2014_000000145101.jpg,145101008,Is it day or night outside?,night,{'night'},is it,other
565438,../data/validation/images/COCO_val2014_000000565438.jpg,565438003,Is he wearing black?,yes,"{'no', 'yes'}",is he,yes/no
562090,../data/validation/images/COCO_val2014_000000562090.jpg,562090002,Are there curtains or blinds on these windows?,blinds,"{'blinds', 'no', 'yes'}",are there,other
109924,../data/validation/images/COCO_val2014_000000109924.jpg,109924002,Are the train pieces connected?,no,"{'no', 'yes'}",are the,yes/no
129065,../data/validation/images/COCO_val2014_000000129065.jpg,129065002,Is this a double decker bus?,yes,{'yes'},is this a,yes/no
321578,../data/validation/images/COCO_val2014_000000321578.jpg,321578001,Why is the animal eating the grass?,it's hungry,"{'feed', ""it's his food"", 'cow', ""it's hungry"", 'to get nutrition', 'hungry', 'to survive'}",why is the,other
307166,../data/validation/images/COCO_val2014_000000307166.jpg,307166011,How many containers are there?,4,"{'3', '7', '5', '6', '4'}",how many,number
42399,../data/validation/images/COCO_val2014_000000042399.jpg,42399000,How many doors are open?,3,"{'3', '2', '4'}",how many,number
50829,../data/validation/images/COCO_val2014_000000050829.jpg,50829105,What type of bread is on the plate?,bun,"{'hoagie', 'white', 'ciabatta', 'roll', 'po boy bread', 'bun'}",what type of,other
292415,../data/validation/images/COCO_val2014_000000292415.jpg,292415000,What time of day is it?,evening,"{'sunrise or sunset', 'sunset', 'dusk', 'evening'}",what time,other
576614,../data/validation/images/COCO_val2014_000000576614.jpg,576614002,Where was this picture taken?,brazil,"{'banana tree', 'outside', 'brazil', 'rain forest', 'somewhere tropical', 'in tropics', 'tropics', 'africa', 'hawaii', 'tree'}",none of the above,other
433505,../data/validation/images/COCO_val2014_000000433505.jpg,433505060,What kind of computer is that?,apple,"{'desktop', 'apple', 'mac'}",what kind of,other
465272,../data/validation/images/COCO_val2014_000000465272.jpg,465272002,How many people are holding umbrellas?,2,"{'3', '2', '6', '4'}",how many people are,number
412036,../data/validation/images/COCO_val2014_000000412036.jpg,412036000,Does the bacon appear to be crisp?,yes,{'yes'},does the,yes/no
12670,../data/validation/images/COCO_val2014_000000012670.jpg,12670002,Is this a school picture?,no,"{'no', 'yes'}",is this a,yes/no
357978,../data/validation/images/COCO_val2014_000000357978.jpg,357978005,Are these women friends?,yes,"{'no', 'yes'}",are these,yes/no
74646,../data/validation/images/COCO_val2014_000000074646.jpg,74646025,What is the object in the sky?,kite,{'kite'},what is the,other
368088,../data/validation/images/COCO_val2014_000000368088.jpg,368088009,How many people are riding horses?,0,{'0'},how many people are,number
279420,../data/validation/images/COCO_val2014_000000279420.jpg,279420000,Is the kid skiing on snow?,no,{'no'},is the,yes/no
320974,../data/validation/images/COCO_val2014_000000320974.jpg,320974000,"Does the dog have a long, pointed nose?",no,{'no'},does the,yes/no
365511,../data/validation/images/COCO_val2014_000000365511.jpg,365511000,How many signs are on the signpost?,2,"{'1', '2'}",how many,number
240739,../data/validation/images/COCO_val2014_000000240739.jpg,240739001,What is the man hitting?,ball,"{'tennis ball', 'ball'}",what is the man,other
299481,../data/validation/images/COCO_val2014_000000299481.jpg,299481019,Is the man alone?,no,{'no'},is the man,yes/no
195863,../data/validation/images/COCO_val2014_000000195863.jpg,195863005,Are there shells on the beach?,no,{'no'},are there,yes/no
544009,../data/validation/images/COCO_val2014_000000544009.jpg,544009003,What is in the toilet?,mouse,"{'rat', 'mouse'}",what is in the,other
89781,../data/validation/images/COCO_val2014_000000089781.jpg,89781016,What objects are in the paper cup?,liquid,"{'none', 'not one', 'no paper cup', 'burger, salads', 'liquid', 'food', 'no cup'}",what,other
125829,../data/validation/images/COCO_val2014_000000125829.jpg,125829005,What is beneath the bikes?,sidewalk,"{'ground', 'pavement', 'road', 'concrete', 'sidewalk'}",what is,other
563381,../data/validation/images/COCO_val2014_000000563381.jpg,563381019,Is the sun rising in the photo?,no,"{'no', 'yes'}",is the,yes/no
185802,../data/validation/images/COCO_val2014_000000185802.jpg,185802002,What time is it?,noon,"{'daytime', 'morning', '5:00 pm', 'day', 'noon'}",what time,other
416795,../data/validation/images/COCO_val2014_000000416795.jpg,416795001,What brand of soda is featured on the cup?,coca cola,"{'coca cola', 'coca-cola', 'coke'}",what brand,other
357194,../data/validation/images/COCO_val2014_000000357194.jpg,357194011,What color is the wall the TV is hanging on?,beige,"{'silver', 'cream', 'tv is not hanging', 'beige', 'tan', 'yellow'}",what color is the,other
191949,../data/validation/images/COCO_val2014_000000191949.jpg,191949017,Which game is this?,tennis,{'tennis'},which,other
417085,../data/validation/images/COCO_val2014_000000417085.jpg,417085016,Where is the cow?,side of road,"{'side of road', 'near road', 'road', 'on grass', 'by street', 'on side of road', 'sidewalk'}",where is the,other
64059,../data/validation/images/COCO_val2014_000000064059.jpg,64059001,What color is the frisbee?,white,{'white'},what color is the,other
424668,../data/validation/images/COCO_val2014_000000424668.jpg,424668003,Is the toilet clean?,no,"{'no', 'yes'}",is the,yes/no
349480,../data/validation/images/COCO_val2014_000000349480.jpg,349480002,Is there a female bear?,yes,{'yes'},is there a,yes/no
310600,../data/validation/images/COCO_val2014_000000310600.jpg,310600001,What to words can be made out on the sign behind the man?,lent lunches,"{'lent lunches', 'lent'}",what,other
152176,../data/validation/images/COCO_val2014_000000152176.jpg,152176002,Do you see a bicycle?,yes,{'yes'},do you,yes/no
490620,../data/validation/images/COCO_val2014_000000490620.jpg,490620002,What color is the girl's hair?,blonde,{'blonde'},what color is the,other
255990,../data/validation/images/COCO_val2014_000000255990.jpg,255990001,Is the fence intact?,yes,{'yes'},is the,yes/no
295823,../data/validation/images/COCO_val2014_000000295823.jpg,295823002,What color is the water?,gray,"{'white', 'gray', 'dark blue', 'blue and brown', 'blue'}",what color is the,other
263223,../data/validation/images/COCO_val2014_000000263223.jpg,263223003,What is the person doing?,skiing,"{'skiing', 'falling', 'snow skiing'}",what is the person,other
314876,../data/validation/images/COCO_val2014_000000314876.jpg,314876003,What is the speed of the ball?,fast,"{'50', 'very fast', '100 mph', ""can't tell"", 'fast'}",what is the,other
402368,../data/validation/images/COCO_val2014_000000402368.jpg,402368000,What is the primary purpose of this room?,living,"{'living room', 'relaxing', 'lounging', 'brown', 'living', 'common area for everyone', 'to relax'}",what is the,other
229740,../data/validation/images/COCO_val2014_000000229740.jpg,229740009,What room is the cat in?,bathroom,{'bathroom'},what room is,other
485909,../data/validation/images/COCO_val2014_000000485909.jpg,485909000,Is the man hot?,no,{'no'},is the man,yes/no
503724,../data/validation/images/COCO_val2014_000000503724.jpg,503724009,Is the sky cloudy?,no,{'no'},is the,yes/no
212766,../data/validation/images/COCO_val2014_000000212766.jpg,212766010,What company name is on the box?,domino's,"{""domino's"", 'dominos', ""domino's pizza""}",what,other
134574,../data/validation/images/COCO_val2014_000000134574.jpg,134574011,How many plates are shown?,5,"{'3', '5', '6', '8', '4'}",how many,number
86168,../data/validation/images/COCO_val2014_000000086168.jpg,86168005,How many cats are there?,1,{'1'},how many,number
295628,../data/validation/images/COCO_val2014_000000295628.jpg,295628002,In what year was the photo taken?,2010,{'2010'},none of the above,number
82456,../data/validation/images/COCO_val2014_000000082456.jpg,82456000,On what continent was this picture taken?,asia,"{'africa', 'outside', 'asia', 'india'}",none of the above,other
89099,../data/validation/images/COCO_val2014_000000089099.jpg,89099001,What indicates that this picture is after dinner?,washing dishes,"{'cleaning', 'food remains', 'washing dishes', 'meat', 'dirty dishes', 'turkey is down to carcass', 'bird carcass', 'dishes', 'washing'}",what,other
518968,../data/validation/images/COCO_val2014_000000518968.jpg,518968000,How many surfers are in the photo?,3,{'3'},how many,number
242363,../data/validation/images/COCO_val2014_000000242363.jpg,242363019,Is there a skeleton in the room?,no,{'no'},is there a,yes/no
440779,../data/validation/images/COCO_val2014_000000440779.jpg,440779002,What activity is this?,wii,"{'playing wi', 'gaming', 'wii', 'playing nintendo wii', 'nintendo wii', 'wii game', 'playing wii video game', 'playing video games'}",what,other
57415,../data/validation/images/COCO_val2014_000000057415.jpg,57415001,What word is on the front of the train?,freightliner,"{'freightliner', ""can't read it""}",what,other
515779,../data/validation/images/COCO_val2014_000000515779.jpg,515779006,Is the luggage organized in a row?,no,"{'no', 'yes'}",is the,yes/no
554618,../data/validation/images/COCO_val2014_000000554618.jpg,554618004,What is positioned outside the window?,bird feeder,"{'skeleton', 'lamp post', 'pole', 'bird feeder', 'feeder'}",what is,other
463781,../data/validation/images/COCO_val2014_000000463781.jpg,463781002,What country name is on the jet?,canada,{'canada'},what,other
152731,../data/validation/images/COCO_val2014_000000152731.jpg,152731007,How many sheep are in the photo?,5,{'5'},how many,number
558539,../data/validation/images/COCO_val2014_000000558539.jpg,558539000,Is this English writing?,yes,{'yes'},is this,yes/no
