Image file,Generated Caption
../data/validation/images/COCO_val2014_000000062549.jpg,a man holding a bird
../data/validation/images/COCO_val2014_000000046870.jpg,a motorcycle parked on the street
../data/validation/images/COCO_val2014_000000029080.jpg,a man sitting on the ground with a large object
../data/validation/images/COCO_val2014_000000306536.jpg,a desk with a chair and a clock
../data/validation/images/COCO_val2014_000000320370.jpg,a man in a field
../data/validation/images/COCO_val2014_000000186413.jpg,a cow laying in a field
../data/validation/images/COCO_val2014_000000189376.jpg,a group of people sitting around a desk
../data/validation/images/COCO_val2014_000000235242.jpg,a train on the tracks
../data/validation/images/COCO_val2014_000000385896.jpg,a young boy is doing a trick on a skateboard
../data/validation/images/COCO_val2014_000000526536.jpg,a pizza on a plate
../data/validation/images/COCO_val2014_000000391446.jpg,a small boat on the ground
../data/validation/images/COCO_val2014_000000017182.jpg,a blackboard on the wall
../data/validation/images/COCO_val2014_000000088455.jpg,a skateboarder doing a trick on a red box
../data/validation/images/COCO_val2014_000000503292.jpg,a plane taking off from an airport
../data/validation/images/COCO_val2014_000000125458.jpg,two hot dogs
../data/validation/images/COCO_val2014_000000427377.jpg,a woman sitting at a table with a bottle of wine
../data/validation/images/COCO_val2014_000000326550.jpg,a man carrying a surfboard on a rocky beach
../data/validation/images/COCO_val2014_000000257767.jpg,a computer and a keyboard on a desk
../data/validation/images/COCO_val2014_000000104685.jpg,a horse race
../data/validation/images/COCO_val2014_000000065057.jpg,a couple of young people playing a game of frc
../data/validation/images/COCO_val2014_000000239194.jpg,a gi git standing in the grass
../data/validation/images/COCO_val2014_000000136355.jpg,a kitchen with a table and chairs and a refrigerator
../data/validation/images/COCO_val2014_000000499210.jpg,a man holding a teddy bear
../data/validation/images/COCO_val2014_000000302038.jpg,a dining room with a wood burning stove
../data/validation/images/COCO_val2014_000000348887.jpg,a man in the ocean
../data/validation/images/COCO_val2014_000000095319.jpg,a boy holding a bag of carrots and a carrot
../data/validation/images/COCO_val2014_000000195894.jpg,a hotel room with a large bed and a television
../data/validation/images/COCO_val2014_000000526806.jpg,a train on the tracks
../data/validation/images/COCO_val2014_000000412419.jpg,a baseball player swinging a bat at a ball
../data/validation/images/COCO_val2014_000000168248.jpg,a man on a skateboard doing a trick
../data/validation/images/COCO_val2014_000000193673.jpg,a bunch of bananas
../data/validation/images/COCO_val2014_000000124654.jpg,"a bathroom with a toilet, sink, and shower"
../data/validation/images/COCO_val2014_000000133476.jpg,a sandwich on a plate
../data/validation/images/COCO_val2014_000000380487.jpg,a little girl sitting on a bed in a room
../data/validation/images/COCO_val2014_000000437738.jpg,a stop sign on a street corner with a stop sign
../data/validation/images/COCO_val2014_000000076351.jpg,a large elephant standing next to a tree
../data/validation/images/COCO_val2014_000000067207.jpg,two people playing a video game in a living room
../data/validation/images/COCO_val2014_000000489798.jpg,a group of people sitting around a table
../data/validation/images/COCO_val2014_000000078266.jpg,a kitchen with a lot of stainless equipment
../data/validation/images/COCO_val2014_000000370123.jpg,a large clock tower in the middle of a city
../data/validation/images/COCO_val2014_000000325152.jpg,a bench in the woods
../data/validation/images/COCO_val2014_000000499810.jpg,a man standing in a train with his feet on the ground
../data/validation/images/COCO_val2014_000000452767.jpg,a group of women sitting on a bench
../data/validation/images/COCO_val2014_000000211604.jpg,a girl laying on the floor
../data/validation/images/COCO_val2014_000000085162.jpg,a horse in a brick building
../data/validation/images/COCO_val2014_000000163879.jpg,a row of luggage bags
../data/validation/images/COCO_val2014_000000026204.jpg,a city street with cars and buses on it
